Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Noa Essengue,Ulm,Intl,FR,F,18,474.4,6.6,11.7,0.56,0.9,3.2,0.294,5.7,8.6,0.659,0.603,6.9,9.3,0.73,2.1,6.9,8.9,1.9,2.3,0.9,1.7,4.4,20.9,119.483,99.83,11.625,0.662,0.274,0.795,11.067,24.241,18.761,38.306,4.848,14.366,15.6,36.872,0.171,1.346,1.517,0.128,1.433,2.179,3.613,essenno01
Noah Clowney,Alabama,SEC,FR,C,36,915.0,3.4,7.0,0.486,0.9,3.3,0.283,2.5,3.7,0.669,0.553,2.0,3.1,0.649,2.1,5.8,7.9,0.8,0.6,0.9,1.3,3.9,9.8,113.5,89.0,18.6,0.576,0.474,0.439,8.7,21.4,15.5,6.0,1.3,3.4,15.5,17.8,1.9,2.4,4.3,0.189,3.3,3.9,7.3,clownno01
Noah Penda,Le Mans Sarthe,Intl,FR,F,29,866.7,5.1,11.6,0.44,1.4,4.7,0.304,3.7,6.8,0.534,0.5,3.6,5.2,0.693,2.2,5.3,7.6,3.9,2.0,0.6,2.6,3.1,15.2,92.188,100.47,10.644,0.547,0.405,0.448,10.224,16.42,14.128,96.059,3.718,9.646,15.6,30.65,-0.019,2.297,2.278,0.105,0.836,1.254,2.089,pendano01
Norman Powell,UCLA,P12,SR,F,36,1243.0,5.9,13.0,0.456,1.1,3.3,0.319,4.9,9.7,0.503,0.497,3.5,4.7,0.751,0.6,4.1,4.7,2.1,1.8,0.4,2.2,2.9,16.4,104.9,99.0,19.6,0.54,0.255,0.362,1.9,13.3,7.6,12.8,3.2,1.5,15.8,24.0,2.5,1.9,4.4,0.14,2.8,2.7,5.5,powelno01
OG Anunoby,Indiana,B10,SO,F,16,402.0,4.2,7.6,0.557,0.9,2.8,0.311,3.4,4.8,0.701,0.615,1.7,3.0,0.563,1.8,3.7,5.4,1.4,1.3,1.3,1.6,3.3,11.1,115.6,98.5,23.8,0.611,0.369,0.393,8.5,16.1,12.5,11.0,3.0,5.5,18.0,20.5,1.1,0.7,1.7,0.172,4.7,3.1,7.8,anunoog01
Obi Toppin,Dayton,A10,SO,F,31,981.0,7.9,12.5,0.633,1.0,2.6,0.39,6.9,9.8,0.698,0.674,3.2,4.5,0.702,1.2,6.4,7.5,2.2,1.0,1.2,2.2,2.1,20.0,122.5,89.6,32.5,0.684,0.212,0.364,5.2,22.0,14.5,14.5,1.8,4.1,15.4,26.2,4.5,2.3,6.8,0.279,8.6,3.3,11.9,toppiob01
Ochai Agbaji,Kansas,B12,SR,F,39,1367.0,6.6,13.9,0.475,2.6,6.5,0.407,4.0,7.4,0.534,0.57,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.9,18.8,114.0,97.9,20.8,0.595,0.466,0.28,2.8,12.9,8.2,8.7,1.5,1.7,14.5,23.3,4.0,2.2,6.2,0.181,6.5,1.7,8.1,agbajoc01
Olivier-Maxence Prosper,Marquette,BE,JR,F,36,1045.0,4.2,8.1,0.512,1.1,3.2,0.339,3.1,4.9,0.624,0.578,3.1,4.2,0.735,1.7,3.0,4.7,0.7,0.9,0.1,1.4,3.2,12.5,115.5,103.1,17.9,0.617,0.392,0.515,7.1,12.3,9.7,4.0,1.8,0.5,14.0,19.8,2.7,1.3,4.0,0.152,2.5,-0.1,2.4,prospol01
Onyeka Okongwu,USC,P12,FR,C,28,858.0,6.3,10.2,0.618,0.0,0.1,0.25,6.2,10.0,0.623,0.619,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2.0,3.5,16.3,119.1,87.6,31.1,0.646,0.014,0.502,12.4,18.4,15.5,8.4,2.3,9.8,15.9,23.4,3.2,2.1,5.4,0.251,6.2,4.7,10.9,okongon01
Orlando Robinson,Fresno St.,MWC,JR,C,34,1134.0,7.0,14.5,0.481,1.1,2.9,0.37,5.9,11.6,0.509,0.518,4.3,6.1,0.703,2.6,5.8,8.4,2.9,1.0,1.2,2.5,2.9,19.3,109.9,90.0,29.8,0.555,0.202,0.424,10.1,22.1,15.9,23.2,2.0,4.7,14.1,33.8,4.5,2.9,7.4,0.246,7.3,2.7,10.0,robinor01
