player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Alvin Jones,jonesal01,126.0,0.1,-0.2,0,0,Rotational
Alvin Robertson,roberal01,26675.0,55.5,29.8,4,1,All-Star
Alvin Scott,scottal01,10853.0,23.1,6.1,0,0,Starter
Alvin Sims,simsal01,25.0,-0.1,0.0,0,0,Rotational
Alvin Williams,willial02,13681.0,22.900000000000002,4.7,0,0,Starter
Amal McCaskill,mccasam01,968.0,0.39999999999999997,-0.7,0,0,Rotational
Amar'e Stoudemire,stoudam01,27499.0,96.1,22.900000000000002,6,5,Superstar
Amari Bailey,baileam01,65.0,-0.1,-0.1,0,0,Rotational
Amari Williams,william01,146.0,0.2,0.0,0,0,Rotational
Amen Thompson,thompam01,6566.0,22.6,8.1,0,0,Starter
Amida Brimah,brimaam01,29.0,0.0,0.0,0,0,Rotational
Amile Jefferson,jeffeam01,142.0,0.4,0.0,0,0,Rotational
Amir Coffey,coffeam01,6933.0,13.3,-0.1,0,0,Rotational
Amir Johnson,johnsam01,18323.0,55.3,10.6,0,0,All-Star
Anderson Varejão,varejan01,15583.0,47.6,8.700000000000001,0,0,Starter
Andersson Garcia,garcian01,169.0,0.1,-0.2,0,0,Rotational
Andrae Patterson,pattean01,304.0,0.7999999999999999,0.0,0,0,Rotational
Andray Blatche,blatcan01,12462.0,19.3,3.8000000000000003,0,0,Starter
Andre Barrett,barrean01,1584.0,0.5,-0.4,0,0,Rotational
Andre Brown,brownan01,598.0,0.30000000000000004,-0.5,0,0,Rotational
Andre Dawkins,dawkian01,22.0,-0.1,-0.1,0,0,Rotational
Andre Drummond,drumman01,30009.0,91.5,21.6,2,0,All-Star
Andre Emmett,emmetan01,73.0,0.1,-0.1,0,0,Rotational
Andre Iguodala,iguodan01,39507.0,100.5,41.2,1,0,Superstar
Andre Ingram,ingraan01,79.0,0.1,0.0,0,0,Rotational
