Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,TS%,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,PER ,3PAr,PProd,TRB%,OWS,DWS,WS,WS/40
Myles Turner,Texas,B12,FR,C,34,755,3.4,7.6,0.455,0.5,1.8,0.274,2.9,5.7,0.513,0.488,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,4.3,10.1,109.4,85.4,0.556,0.436,7.2,24.9,6.2,0.8,12.3,16.6,23.8,3.1,5.5,8.5,25.5,0.241,310,16.7,1.9,2.1,4,0.213
Hunter Tyson,Clemson,ACC,SR,F,34,1181,5.1,10.6,0.479,2.4,6,0.405,2.6,4.5,0.578,0.595,2.7,3.3,0.838,1.3,8.2,9.5,1.5,0.9,0.1,1,2,15.3,124,95.9,0.631,0.309,4.7,26.1,8.3,1.6,0.4,9.1,19.2,5.8,1.8,7.7,22.2,0.571,476,16.2,3.8,2.3,6,0.205
Jaylon Tyson,California,P12,JR,F,31,1065,7.2,15.4,0.465,1.6,4.5,0.36,5.5,10.9,0.509,0.518,3.6,4.6,0.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.5,19.6,107.4,107,0.557,0.298,5.2,16.9,23.5,2,1.5,17.3,30,5.3,0.8,6.1,22.2,0.291,595,11,2.4,1.1,3.5,0.133
Fred VanVleet,Wichita St.,MVC,SR,G,31,900,3.8,9.8,0.39,1.4,3.6,0.381,2.5,6.2,0.396,0.461,3.2,3.9,0.817,0.4,2.9,3.2,5.5,1.8,0.1,1.7,2.4,12.2,112.7,88,0.523,0.393,1.3,11.9,39.6,3.7,0.4,14.6,24.7,4.9,4.8,9.7,22.3,0.37,415,6.4,2.5,2.4,4.9,0.219
Jarred Vanderbilt,Kentucky,SEC,FR,C,14,238,2.1,4.9,0.426,0,0.1,0,2.1,4.8,0.433,0.426,1.7,2.7,0.632,3.3,4.6,7.9,1,0.4,0.8,1.1,6.2,5.9,107.3,92.9,0.476,0.559,23.2,27.9,10.7,1.4,5.3,15.7,22.9,3,2.1,5,21.6,0.015,103,25.7,0.5,0.5,1,0.172
Devin Vassell,Florida St.,ACC,SO,F,30,862,4.8,9.8,0.49,1.5,3.5,0.415,3.3,6.3,0.532,0.565,1.6,2.2,0.738,1.3,3.8,5.1,1.6,1.4,1,0.8,2.7,12.7,124.8,92.4,0.585,0.221,5.2,15.4,11.2,2.8,4.1,8.1,18.9,6.4,3.7,10.1,23.8,0.361,352,10.4,3,1.7,4.7,0.218
Gabe Vincent,UC Santa Barbara,BW,SR,G,30,874,4.5,10,0.45,1.8,4.7,0.373,2.7,5.3,0.519,0.538,2.2,2.7,0.805,0.1,1.8,1.9,3.2,1.1,0.2,1.2,4,12.4,116.7,104.8,0.574,0.273,0.4,7.1,20.9,2.2,0.7,11.9,20.8,2.2,0.6,2.8,17.9,0.476,382,3.7,2.5,1.2,3.7,0.159
Dean Wade,Kansas St.,B12,SR,C,25,761,4.9,9.9,0.492,0.9,2.2,0.418,4,7.7,0.513,0.538,2.2,2.8,0.789,2,4.1,6.1,2.8,0.8,0.5,1.4,2.7,12.9,116.3,92.5,0.573,0.286,8,16.8,21.3,1.7,2.2,12.9,22.6,5.4,3.5,8.9,22.7,0.222,326,12.4,2.3,1.7,4,0.208
Franz Wagner,Michigan,B10,SO,F,28,887,4.4,9.3,0.477,1.2,3.6,0.343,3.2,5.6,0.563,0.544,2.4,2.8,0.835,0.7,5.8,6.5,3,1.2,1,1.3,2.8,12.5,119.5,91.2,0.587,0.304,2.9,19.6,17.4,2.3,3.2,12.5,19.4,5.2,5.4,10.6,22.1,0.392,345,12.1,2.7,2,4.7,0.21
Moritz Wagner,Michigan,B10,JR,F,38,1050,5.6,10.6,0.526,1.6,4.2,0.392,3.9,6.4,0.612,0.603,1.9,2.8,0.698,1.5,5.7,7.1,0.8,1,0.5,1.4,4.5,14.6,114.8,91.4,0.618,0.263,6.5,25,6.7,2.2,2,13.1,24.6,5,3.3,8.3,24.7,0.391,499,15.7,3.1,2.6,5.7,0.213
Jabari Walker,Colorado,P12,SO,C,33,928,4.8,10.5,0.461,1.1,3.2,0.346,3.8,7.4,0.51,0.513,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,2.3,3.6,14.6,106.7,92.7,0.57,0.467,8.9,29.3,10,1.5,2.6,17.8,27,3.3,1.4,4.7,23,0.3,456,19.5,2.3,2,4.3,0.185
Jarace Walker,Houston,Amer,FR,F,36,998,4.4,9.4,0.463,1,2.8,0.347,3.4,6.6,0.513,0.515,1.5,2.2,0.662,2.3,4.5,6.8,1.8,1,1.3,1.5,3,11.2,112.3,86.3,0.533,0.236,9.5,18.1,12.4,2.2,6.2,14.9,22,4,3.7,7.7,22.1,0.297,401,14,2.4,2.8,5.2,0.211
Cason Wallace,Kentucky,SEC,FR,G,32,1026,4.3,9.8,0.446,1.4,4,0.346,3,5.8,0.514,0.516,1.7,2.2,0.757,0.9,2.8,3.7,4.2,2,0.5,2.1,3,11.7,112.1,99.2,0.543,0.224,3.3,10.3,24.4,3.7,1.6,19.3,20.3,3.1,3.9,7,18.5,0.407,389,6.7,2.2,1.6,3.9,0.15
Keaton Wallace,UTSA,CUSA,SR,F,22,739,5.8,14.3,0.408,2.2,7.1,0.312,3.6,7.1,0.503,0.486,2.6,3.2,0.803,0.6,4.9,5.5,3.4,1,0.3,2.2,2.6,16.8,101.7,105.1,0.52,0.226,1.4,16.9,18.3,1.5,0.7,15.2,24.8,2.6,-0.8,1.8,18.5,0.495,415,8.7,1.9,1.1,3,0.139
Jordan Walsh,Arkansas,SEC,FR,F,36,878,2.6,6,0.433,0.6,2,0.278,2.1,4,0.51,0.479,1.3,1.8,0.712,1.2,2.7,3.9,0.9,1.1,0.5,1,4.8,7.1,103.5,97,0.513,0.304,5.8,12.9,6.7,2.6,2,15.1,15.8,0,2.7,2.7,12.8,0.332,253,9.4,1,1.6,2.5,0.115
Ja'Kobe Walter,Baylor,B12,FR,F,34,1099,4.1,11,0.377,2.2,6.3,0.346,2,4.7,0.419,0.476,4.3,5.4,0.792,1.3,3.1,4.5,1.4,1.1,0.2,1.3,2.6,14.5,115.5,106.4,0.543,0.489,5.5,12.3,8.2,2,0.8,11.2,22.1,4,0.4,4.4,17.1,0.574,479,8.7,3,1.2,4.2,0.149
Kel'el Ware,Indiana,B10,SO,C,30,963,6.3,10.7,0.588,0.6,1.3,0.425,5.7,9.3,0.611,0.614,2.8,4.5,0.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.5,15.9,117.2,101.2,0.623,0.419,8,26.1,9.9,1.1,6.5,12.7,22.1,5.6,2.5,8.1,25,0.125,434,17.5,2.7,1.5,4.2,0.175
Lindy Waters III,Oklahoma St.,B12,SR,F,31,981,3.6,9.4,0.381,1.3,4,0.317,2.3,5.4,0.429,0.448,2.1,2.6,0.825,0.5,3.6,4.2,2.4,1.2,0.1,1.6,2.9,10.5,100.2,97.8,0.497,0.275,1.9,12.8,15.8,2.2,0.3,15.6,19.1,1.1,2,3.1,13.4,0.423,321,7.5,1.2,1.5,2.6,0.107
