player,pos,exp,num,hgt,team,conf,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,year,id,fgm,ftm,fta,ft_pct,two_m,two_a,two_pct,three_m,three_a,three_pct,dunk_m,dunk_a,dunk_pct,rim_m,rim_a,rim_pct,mid_m,mid_a,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,rec,pick,fga,fg_pct
Ayo Dosunmu,Combo G,Jr,11.0,6-5,Illinois,B10,28,78.4,35.1429,20.1429,1.1071,5.2143,6.3214,5.25,3.32139993350494,1.58065879,1.1071,0.2143,29.4,110.8,52.6,56.64,2021,66420,210,112,143,0.783,178,347,0.513,32,83,0.386,10.0,10.0,1.0,113.0,173.0,0.6532,65.0,175.0,0.3714,5.51034,4.62706,131.048,95.7054,88.804,194.087,5.853,2.42786,8.28086,3.9,15.8,29.2,18.0,0.6,1.8,33.3,2.4,93.8,38.0,430,0.488372093023256
Andre Drummond,C,Fr,12.0,6-10,Connecticut,BE,34,70.3,28.4412,10.0,3.3529,4.2059,7.5588,0.4412,1.52940001138384,0.28847914,0.8235,2.7059,20.8,100.7,53.8,50.93,2012,20311,157,26,88,0.295,157,290,0.541,0,2,0.0,80.0,89.0,0.8989,130.0,185.0,0.7027,27.0,105.0,0.2571,2.01686,3.4961,106.362,95.5401,90.5331,200.006,1.78075,2.5491,4.32984,14.2,15.5,3.4,16.0,9.9,1.8,30.1,3.1,83.4,9.0,292,0.537671232876712
Kris Dunn,Combo G,Fr,3.0,6-3,Providence,BE,25,49.5,27.2,5.68,1.64,3.16,4.8,3.16,1.8799999483595,1.68085111,1.16,0.28,16.2,96.0,41.5,47.16,2013,25358,49,40,58,0.69,45,109,0.413,4,14,0.286,6.0,6.0,1.0,30.0,61.0,0.4918,15.0,48.0,0.3125,1.09285,3.2349,96.9394,96.3197,91.2872,128.602,-0.986535,3.0332,2.04666,6.6,13.2,22.8,25.8,1.1,2.6,47.2,4.5,97.0,5.0,123,0.398373983739837
Kris Dunn,Pure PG,So,3.0,6-3,Providence,BE,4,7.3,26.5,3.75,0.25,2.25,2.5,5.0,3.4999999965,1.42857143,1.75,0.25,19.3,71.0,31.6,36.72,2014,25358,6,3,3,1.0,6,17,0.353,0,2,0.0,1.0,1.0,1.0,5.0,8.0,0.625,1.0,9.0,0.1111,-1.23008,2.75059,74.9324,101.277,99.7712,19.8446,-4.18312,3.07305,-1.11007,1.1,10.1,35.7,42.1,0.9,4.1,15.8,3.4,97.0,5.0,19,0.315789473684211
Kris Dunn,Pure PG,So,3.0,6-3,Providence,BE,33,82.0,34.0303,15.6061,0.8485,4.6061,5.4545,7.4848,4.18179997715676,1.78985127,2.7273,0.303,30.0,103.1,50.9,54.59,2015,25358,185,118,172,0.686,158,313,0.505,27,77,0.351,17.0,18.0,0.9444,97.0,167.0,0.5808,61.0,146.0,0.4178,4.03776,4.69394,121.826,93.2564,87.351,250.596,4.81497,4.76617,9.58114,2.9,16.1,50.0,24.8,1.1,4.9,44.1,3.6,97.0,5.0,390,0.474358974358974
Kris Dunn,Pure PG,Jr,3.0,6-4,Providence,BE,33,76.9,32.9697,16.4242,1.0909,4.2424,5.3333,6.2424,3.5151997984853,1.77583078,2.4848,0.6061,29.3,103.6,49.9,54.06,2016,25358,184,132,190,0.695,142,298,0.477,42,113,0.372,27.0,29.0,0.931,99.0,157.0,0.6306,42.0,138.0,0.3043,3.76513,4.6809,121.205,93.8582,88.5402,255.725,4.52388,5.03372,9.55759,3.5,14.8,41.8,20.9,1.9,4.3,46.2,3.4,97.0,5.0,411,0.447688564476886
Ryan Dunn,PF/C,Fr,13.0,6-8,Virginia,ACC,31,30.3,12.9677,2.6452,0.6129,2.3226,2.9355,0.2903,0.45159996438225,0.64282556,0.4194,1.0645,12.3,103.1,57.3,56.59,2023,75875,33,11,22,0.5,28,46,0.609,5,16,0.313,17.0,17.0,1.0,25.0,35.0,0.7143,3.0,11.0,0.2727,0.311603,1.92833,94.1832,89.8551,86.204,90.4113,-1.74607,4.63141,2.88534,5.9,22.6,4.3,18.2,10.6,2.1,35.5,4.1,75.0,,62,0.532258064516129
Ryan Dunn,PF/C,So,13.0,6-8,Virginia,ACC,34,67.9,27.4412,8.1176,2.2353,4.6765,6.9118,0.7647,0.823499982182807,0.92859747,1.2647,2.2647,17.0,111.6,56.5,56.42,2024,75875,114,41,77,0.532,107,173,0.618,7,35,0.2,36.0,38.0,0.9474,89.0,131.0,0.6794,18.0,42.0,0.4286,2.03567,4.38067,110.191,88.4688,84.0638,214.429,1.14849,5.2444,6.39289,9.6,20.8,6.0,11.6,10.4,3.0,37.0,3.0,75.0,,208,0.548076923076923
Jalen Duren,C,Fr,2.0,6-11,Memphis,Amer,29,55.5,25.2759,11.9655,2.9655,5.1724,8.1379,1.2759,2.24139999118829,0.56924244,0.8276,2.1034,23.0,109.5,59.7,60.79,2022,74777,141,65,104,0.625,141,235,0.6,0,1,0.0,70.0,76.0,0.9211,111.0,152.0,0.7303,30.0,83.0,0.3614,3.03069,3.54124,119.953,91.1219,87.0222,178.285,3.51697,3.11173,6.6287,14.0,21.5,10.5,21.6,9.9,1.8,44.1,4.3,99.4,13.0,236,0.597457627118644
Tari Eason,PF/C,Fr,13.0,6-8,Cincinnati,Amer,23,49.0,19.6087,7.4348,2.2609,3.6522,5.913,1.3043,2.17389996336721,0.59998161,1.1739,1.2609,24.4,90.8,49.3,50.79,2021,72347,68,27,47,0.574,60,116,0.517,8,30,0.267,17.0,22.0,0.7727,52.0,89.0,0.5843,8.0,26.0,0.3077,1.00582,2.53444,100.038,93.2899,90.0077,115.715,-0.548216,2.75838,2.21017,12.6,21.8,14.3,25.4,7.0,3.4,32.2,5.3,75.4,17.0,146,0.465753424657534
