Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
John Konchar,Fort Wayne,1,3,1,30,1028.0,7.0,13.2,0.534,1.5,4.3,0.349,5.5,8.9,0.624,0.591,4.2,5.7,0.737,2.2,6.3,8.5,5.4,2.0,0.9,2.8,2.6,19.5,119.9,103.5,30.3,0.623,0.329,0.433,7.3,20.5,14.2,30.0,3.3,3.0,16.6,28.3,5.1,1.6,6.8,0.239,6.4,1.8,8.2,konchjo01
Jonathan Isaac,Florida St.,3,0,1,32,838.0,4.1,8.0,0.508,1.0,2.8,0.348,3.1,5.2,0.593,0.568,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,3.3,12.0,118.8,92.7,24.6,0.614,0.348,0.461,7.7,25.0,16.7,7.5,2.4,6.2,15.7,20.0,2.4,1.9,4.3,0.205,5.3,3.8,9.1,isaacjo01
Jonathan Kuminga,GLI,2,0,1,13,426.0,6.1,15.7,0.387,1.4,5.5,0.246,4.7,10.2,0.463,0.43,2.5,4.1,0.625,1.3,6.6,7.9,3.0,1.1,0.9,2.9,2.3,17.4,90.0,111.0,11.5,0.497,0.349,0.258,4.0,19.2,11.9,12.2,1.5,2.4,14.1,24.5,-0.7,0.5,-0.3,-0.03,0.0,0.0,0.0,kuminjo01
Jordan Clarkson,Missouri,3,2,0,35,1228.0,6.0,13.4,0.447,0.9,3.3,0.281,5.1,10.1,0.5,0.481,4.6,5.6,0.831,0.8,3.0,3.8,3.4,1.1,0.2,2.7,2.5,17.5,109.7,106.8,20.2,0.546,0.244,0.417,2.9,9.3,6.4,23.3,1.9,0.6,16.8,27.3,3.2,1.2,4.4,0.142,3.7,-0.1,3.6,clarkjo01
Jordan Goodwin,Saint Louis,1,3,1,21,696.0,5.4,12.6,0.43,1.0,3.3,0.314,4.4,9.3,0.472,0.472,2.6,4.0,0.643,2.6,7.5,10.1,3.9,2.0,0.2,2.8,2.1,14.5,102.6,90.0,21.9,0.498,0.264,0.317,9.1,27.0,17.9,21.8,3.6,0.7,18.6,26.1,1.4,1.6,3.0,0.172,3.8,3.0,6.7,goodwjo01
Jordan Hawkins,Connecticut,1,1,1,37,1086.0,4.9,12.0,0.409,2.9,7.6,0.388,2.0,4.4,0.445,0.531,3.4,3.8,0.887,1.0,2.8,3.8,1.3,0.7,0.5,1.4,3.0,16.2,121.2,97.3,20.2,0.584,0.631,0.317,3.9,10.8,7.4,8.2,1.4,1.8,11.9,22.7,3.8,1.9,5.7,0.211,6.1,1.2,7.4,hawkijo01
Jordan McLaughlin,USC,3,3,0,36,1270.0,4.4,9.8,0.449,1.5,3.8,0.397,2.9,6.1,0.482,0.525,2.4,3.3,0.746,0.7,2.9,3.7,7.8,2.0,0.2,2.6,1.2,12.8,116.7,101.9,21.3,0.561,0.384,0.333,2.5,9.9,6.1,38.5,3.3,0.7,18.9,22.4,3.6,1.8,5.3,0.168,4.9,2.2,7.1,mclaujo01
Jordan Poole,Michigan,3,1,0,37,1222.0,4.4,10.0,0.436,2.0,5.5,0.369,2.3,4.5,0.518,0.538,2.0,2.4,0.833,0.2,2.8,3.0,2.2,1.1,0.2,1.5,2.4,12.8,108.4,92.6,16.0,0.573,0.55,0.244,0.8,9.4,5.2,13.0,2.0,0.7,14.1,20.0,2.2,2.7,4.9,0.16,2.5,3.6,6.1,poolejo01
Jose Alvarado,Georgia Tech,3,3,0,26,965.0,5.4,10.7,0.505,1.8,4.5,0.39,3.7,6.2,0.59,0.588,2.6,3.1,0.838,0.7,2.7,3.5,4.2,2.8,0.0,2.1,2.5,15.2,117.8,99.6,22.2,0.623,0.421,0.287,2.5,9.4,5.9,21.0,4.5,0.1,16.1,20.6,2.9,1.4,4.3,0.179,4.3,3.0,7.3,alvarjo01
Josh Giddey,Adelaide,0,0,1,28,998.9,5.1,11.9,0.427,1.3,4.4,0.293,3.8,7.4,0.506,0.483,2.1,3.0,0.691,1.4,7.8,9.1,9.3,1.3,0.6,4.1,1.9,13.6,78.522,101.62,10.664,0.514,0.37,0.252,5.45,20.244,14.171,229.064,2.024,9.441,15.6,26.972,-0.114,2.592,2.478,0.099,0.891,1.14,2.03,giddejo01
